electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
F01,ctx-lh-superiortemporal,1030,2.236068,nearest-neighbor,-65.892,8.392,12.767,151,148,169
F02,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-59.892,17.392,10.767,145,157,167
F03,ctx-lh-superiortemporal,1030,1.7320508,nearest-neighbor,-56.892,26.392,9.767,142,166,166
F04,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-50.892,34.392,7.767,136,174,164
F05,ctx-lh-parstriangularis,1020,1.4142135,nearest-neighbor,-45.892,42.392,5.767,131,182,162
F06,ctx-lh-parsorbitalis,1019,1.4142135,nearest-neighbor,-43.892,51.392,2.767,129,191,159
F07,ctx-lh-parsorbitalis,1019,1.0,nearest-neighbor,-40.892,61.392,1.767,126,201,158
F08,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-33.892,68.392,0.767,119,208,157
F09,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-60.892,8.392,22.767,146,148,179
F10,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-58.892,18.392,20.767,144,158,177
F11,ctx-lh-superiortemporal,1030,2.828427,nearest-neighbor,-53.892,27.392,19.767,139,167,176
F12,ctx-lh-parsopercularis,1018,1.4142135,nearest-neighbor,-48.892,34.392,16.767,134,174,173
F13,ctx-lh-parstriangularis,1020,2.0,nearest-neighbor,-49.892,45.392,15.767,135,185,172
F14,ctx-lh-parstriangularis,1020,1.0,nearest-neighbor,-45.892,54.392,13.767,131,194,170
F15,ctx-lh-rostralmiddlefrontal,1027,2.0,nearest-neighbor,-41.892,64.392,12.767,127,204,169
F16,ctx-lh-rostralmiddlefrontal,1027,2.236068,nearest-neighbor,-35.892,72.392,9.767,121,212,166
F17,ctx-lh-postcentral,1022,0.0,direct,-60.892,9.392,31.767,146,149,188
F18,ctx-lh-precentral,1024,1.0,nearest-neighbor,-55.892,19.392,29.767,141,159,186
F19,ctx-lh-precentral,1024,2.4494898,nearest-neighbor,-51.892,26.392,28.767,137,166,185
F20,ctx-lh-parsopercularis,1018,2.236068,nearest-neighbor,-51.892,37.392,27.767,137,177,184
F21,ctx-lh-parsopercularis,1018,3.0,nearest-neighbor,-48.892,47.392,26.767,134,187,183
F22,ctx-lh-parstriangularis,1020,2.236068,nearest-neighbor,-43.892,56.392,24.767,129,196,181
F23,ctx-lh-rostralmiddlefrontal,1027,1.7320508,nearest-neighbor,-38.892,64.392,22.767,124,204,179
F24,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-33.892,73.392,20.767,119,213,177
F25,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-57.892,11.392,43.767,143,151,200
F26,ctx-lh-precentral,1024,2.236068,nearest-neighbor,-54.892,20.392,41.767,140,160,198
F27,ctx-lh-parsopercularis,1018,3.0,nearest-neighbor,-51.892,29.392,39.767,137,169,196
