electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
AL1,Left-Amygdala,18,0.0,direct,-14.107,19.317,-11.208,101,151,157
AL2,Left-Amygdala,18,0.0,direct,-17.545,19.926,-11.24,104,152,157
AL3,Left-Amygdala,18,0.0,direct,-20.981,20.289,-10.895,107,152,158
AL4,Left-Cerebral-White-Matter,2,0.0,direct,-24.482,20.756,-10.993,111,153,157
AL5,Left-Cerebral-White-Matter,2,0.0,direct,-28.029,21.378,-11.144,115,153,157
AL6,Left-Cerebral-White-Matter,2,0.0,direct,-31.461,21.83,-10.783,118,154,158
AL7,Left-Cerebral-White-Matter,2,0.0,direct,-34.919,22.22,-10.431,121,154,158
AL8,Left-Cerebral-White-Matter,2,0.0,direct,-38.405,22.673,-10.179,125,155,158
AL9,ctx-lh-middletemporal,1015,0.0,direct,-41.987,23.209,-10.141,128,155,158
AL10,Left-Cerebral-White-Matter,2,0.0,direct,-45.44,23.671,-10.01,132,156,158
AL11,Left-Cerebral-White-Matter,2,0.0,direct,-48.886,24.208,-9.954,135,156,159
AL12,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-52.449,24.808,-9.554,139,157,159
AHL1,Left-Hippocampus,17,0.0,direct,-21.591,6.039,-12.536,108,138,156
AHL2,Left-Hippocampus,17,0.0,direct,-24.686,6.788,-13.166,111,139,155
AHL3,ctx-lh-fusiform,1007,0.0,direct,-28.38,8.424,-13.58,115,140,155
AHL4,ctx-lh-fusiform,1007,0.0,direct,-31.959,9.108,-14.184,118,141,154
AHL5,Left-Cerebral-White-Matter,2,0.0,direct,-35.112,10.333,-14.719,122,142,154
AHL6,Left-Cerebral-White-Matter,2,0.0,direct,-37.703,11.436,-14.302,124,143,154
AHL7,Left-Cerebral-White-Matter,2,0.0,direct,-41.823,12.531,-14.784,128,144,154
AHL8,Left-Cerebral-White-Matter,2,0.0,direct,-44.976,13.755,-15.319,131,146,153
AHL9,ctx-lh-middletemporal,1015,0.0,direct,-48.129,14.98,-15.855,135,147,153
AHL10,ctx-lh-middletemporal,1015,0.0,direct,-51.707,15.665,-16.459,138,148,152
APL1,ctx-lh-inferiorparietal,1008,0.0,direct,-29.98,-50.538,29.449,116,81,198
APL2,ctx-lh-inferiorparietal,1008,0.0,direct,-33.304,-51.466,29.539,120,80,198
APL3,ctx-lh-inferiorparietal,1008,0.0,direct,-36.57,-52.869,29.534,123,79,198
APL4,Left-Cerebral-White-Matter,2,0.0,direct,-39.953,-53.321,29.719,126,79,198
APL5,ctx-lh-supramarginal,1031,0.0,direct,-43.219,-54.724,29.714,130,77,198
PHL1,Left-Hippocampus,17,0.0,direct,-19.16,-19.87,-4.386,106,112,164
PHL2,Left-Hippocampus,17,0.0,direct,-23.104,-20.2,-5.153,110,112,163
PHL3,Left-Inf-Lat-Vent,5,0.0,direct,-26.004,-20.588,-4.995,112,111,163
PHL4,Left-Cerebral-White-Matter,2,0.0,direct,-29.465,-20.854,-5.789,116,111,163
PHL5,Left-Cerebral-White-Matter,2,0.0,direct,-33.41,-21.185,-6.556,120,111,162
PHL6,Left-Cerebral-White-Matter,2,0.0,direct,-36.388,-21.386,-7.377,123,111,161
PHL7,Left-Cerebral-White-Matter,2,0.0,direct,-40.333,-21.717,-8.145,127,110,160
PHL8,Left-Cerebral-White-Matter,2,0.0,direct,-43.232,-22.105,-7.986,130,110,160
PHL9,ctx-lh-middletemporal,1015,0.0,direct,-46.752,-21.896,-8.685,133,110,160
PHL10,ctx-lh-middletemporal,1015,0.0,direct,-50.696,-22.226,-9.453,137,110,159
PPL1,Left-Cerebral-White-Matter,2,0.0,direct,-15.852,-40.382,14.932,102,92,183
PPL2,Left-Cerebral-White-Matter,2,0.0,direct,-17.473,-42.728,15.637,104,89,184
PPL3,Left-Cerebral-White-Matter,2,0.0,direct,-19.924,-45.865,17.279,106,86,186
PPL4,Left-Cerebral-White-Matter,2,0.0,direct,-21.487,-48.687,17.888,108,83,186
PPL5,ctx-lh-inferiorparietal,1008,0.0,direct,-22.971,-51.694,19.477,109,80,188
PPL6,ctx-lh-inferiorparietal,1008,0.0,direct,-24.822,-55.718,20.903,111,76,189
PPL7,ctx-lh-inferiorparietal,1008,0.0,direct,-26.926,-58.129,21.634,113,74,190
PPL8,ctx-lh-inferiorparietal,1008,1.0,nearest-neighbor,-28.488,-60.95,22.243,115,71,191
PPL9,ctx-lh-inferiorparietal,1008,0.0,direct,-30.514,-63.547,23.954,117,68,192
PPL10,ctx-lh-inferiorparietal,1008,0.0,direct,-32.077,-66.369,24.564,119,66,193
MPL1,ctx-lh-inferiorparietal,1008,0.0,direct,-26.881,-49.211,17.2,113,83,186
MPL2,ctx-lh-inferiorparietal,1008,0.0,direct,-26.762,-48.819,20.328,113,83,189
MPL3,ctx-lh-inferiorparietal,1008,0.0,direct,-26.565,-48.614,24.436,113,83,193
MPL4,ctx-lh-inferiorparietal,1008,0.0,direct,-25.963,-48.157,27.538,112,84,196
MPL5,ctx-lh-inferiorparietal,1008,1.0,nearest-neighbor,-25.765,-47.952,31.645,112,84,200
MPL6,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-25.085,-47.682,35.727,112,84,204
MPL7,ctx-lh-superiorparietal,1029,1.4142135,nearest-neighbor,-25.044,-47.104,37.875,112,85,206
MPL8,Left-Cerebral-White-Matter,2,0.0,direct,-24.789,-47.374,41.888,111,85,210
MPL9,Left-Cerebral-White-Matter,2,0.0,direct,-24.65,-46.693,46.091,111,85,215
MPL10,ctx-lh-superiorparietal,1029,0.0,direct,-24.472,-46.776,49.124,111,85,218
MPL11,ctx-lh-superiorparietal,1029,2.4494898,nearest-neighbor,-23.792,-46.506,53.205,110,85,222
