electrode_name,region
T01,ctx-lh-parsorbitalis
T02,ctx-lh-parsopercularis
T03,ctx-lh-precentral
T04,ctx-lh-precentral
T05,ctx-lh-postcentral
T06,ctx-lh-postcentral
T09,ctx-lh-superiortemporal
T10,ctx-lh-superiortemporal
T11,ctx-lh-superiortemporal
T12,ctx-lh-superiortemporal
T13,ctx-lh-superiortemporal
T14,ctx-lh-superiortemporal
T15,ctx-lh-supramarginal
T16,ctx-lh-supramarginal
T17,ctx-lh-middletemporal
T18,ctx-lh-middletemporal
T19,ctx-lh-middletemporal
T20,ctx-lh-middletemporal
T21,ctx-lh-superiortemporal
T22,ctx-lh-superiortemporal
T23,ctx-lh-supramarginal
T24,ctx-lh-supramarginal
T27,ctx-lh-middletemporal
T28,ctx-lh-middletemporal
T29,ctx-lh-superiortemporal
T30,ctx-lh-middletemporal
T31,ctx-lh-middletemporal
T32,ctx-lh-inferiorparietal
P37,ctx-lh-precentral
P38,ctx-lh-precentral
P39,ctx-lh-postcentral
P46,ctx-lh-precentral
P47,ctx-lh-postcentral
P48,ctx-lh-superiortemporal
PO56,ctx-lh-postcentral
PO64,ctx-lh-postcentral
F05,ctx-lh-parstriangularis
F06,ctx-lh-parstriangularis
F07,ctx-lh-parsopercularis
F08,ctx-lh-precentral
vT3,ctx-lh-superiortemporal
vT4,ctx-lh-superiortemporal
vT5,ctx-lh-superiortemporal
vT6,ctx-lh-superiortemporal
vT7,ctx-lh-superiortemporal
vT8,ctx-lh-superiortemporal
sT7,ctx-lh-middletemporal
sT8,ctx-lh-middletemporal
Oc8,ctx-lh-inferiorparietal
