electrode_name,region
F01,ctx-lh-superiortemporal
F02,ctx-lh-superiortemporal
F03,ctx-lh-superiortemporal
F04,ctx-lh-superiortemporal
F05,ctx-lh-parstriangularis
F06,ctx-lh-parsorbitalis
F07,ctx-lh-parsorbitalis
F09,ctx-lh-superiortemporal
F10,ctx-lh-superiortemporal
F11,ctx-lh-superiortemporal
F12,ctx-lh-parsopercularis
F13,ctx-lh-parstriangularis
F14,ctx-lh-parstriangularis
F17,ctx-lh-postcentral
F18,ctx-lh-precentral
F19,ctx-lh-precentral
F20,ctx-lh-parsopercularis
F21,ctx-lh-parsopercularis
F22,ctx-lh-parstriangularis
F25,ctx-lh-postcentral
F26,ctx-lh-precentral
F27,ctx-lh-parsopercularis
F28,ctx-lh-parsopercularis
F29,ctx-lh-parstriangularis
F33,ctx-lh-precentral
F34,ctx-lh-precentral
F35,ctx-lh-precentral
F41,ctx-lh-postcentral
F42,ctx-lh-precentral
C49,ctx-lh-inferiorparietal
C50,ctx-lh-inferiorparietal
C51,ctx-lh-supramarginal
C53,ctx-lh-postcentral
C54,ctx-lh-postcentral
C60,ctx-lh-postcentral
C61,ctx-lh-postcentral
C62,ctx-lh-postcentral
T04,ctx-lh-middletemporal
T05,ctx-lh-middletemporal
T06,ctx-lh-middletemporal
T07,ctx-lh-middletemporal
T12,ctx-lh-middletemporal
T13,ctx-lh-middletemporal
T14,ctx-lh-middletemporal
sT8,ctx-lh-superiortemporal
HF1,ctx-lh-postcentral
HF2,ctx-lh-precentral
HF3,ctx-lh-precentral
