Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
T26,15,413,601.4248897434752,-1.5330948851947603,-3.1510161152148806,Music > Speech,1.5330948851947603
T26,15,378,518.9375528617993,-1.5233078458773635,-3.1510161152148806,Music > Speech,1.5233078458773635
T26,15,368,562.3622306439546,-1.4318508072438823,-3.1510161152148806,Music > Speech,1.4318508072438823
T26,15,314,464.7391351128228,-1.337705141673803,-3.1510161152148806,Music > Speech,1.337705141673803
sT4,45,235,393.41814747562734,1.241070065423953,3.442276467690669,Speech > Music,1.241070065423953
sT4,45,247,337.46234222569785,1.2155689239978575,3.442276467690669,Speech > Music,1.2155689239978575
C57,38,152,254.29321739100897,-1.2102684646575907,-2.731148033100077,Music > Speech,1.2102684646575907
T25,14,312,504.92524078726615,-0.9668451397496958,3.245392095771519,Music > Speech,0.9668451397496958
T30,19,292,518.2578463425818,-0.6791493656179394,-4.092278164160559,Music > Speech,0.6791493656179394
T30,19,271,378.5109557267175,-0.6759184221164456,-4.092278164160559,Music > Speech,0.6759184221164456
C43,25,188,318.07672252288654,-0.5927611474021243,-2.744735143164341,Music > Speech,0.5927611474021243
C39,23,334,552.184947049511,-0.49113406786105274,2.946643627776915,Music > Speech,0.49113406786105274
T28,17,482,748.3266772288573,-0.40272137848796274,-3.4103794868794868,Music > Speech,0.40272137848796274
T28,17,453,809.6884992335739,-0.3972866989699325,-3.4103794868794868,Music > Speech,0.3972866989699325
T17,6,217,350.8164680749851,-0.3963718055689475,3.290534853398962,Music > Speech,0.3963718055689475
T28,17,188,312.47899508889515,-0.3604012496835975,-3.4103794868794868,Music > Speech,0.3604012496835975
T13,2,164,268.5860065665605,-0.35502979036758786,-2.3688921120098314,Music > Speech,0.35502979036758786
T24,13,159,235.47889984810297,0.3451378596550609,3.243808465306685,Speech > Music,0.3451378596550609
T13,2,168,223.9518512146604,-0.3356738118939247,-2.3688921120098314,Music > Speech,0.3356738118939247
C63,43,249,410.7264104388468,-0.27794160695889253,3.209012029718402,Music > Speech,0.27794160695889253
T16,5,221,348.6397343161693,-0.2631710503746531,-2.7078817401357496,Music > Speech,0.2631710503746531
T23,12,243,392.70439757183743,-0.22876351509327794,-2.3419267373057218,Music > Speech,0.22876351509327794
T14,3,256,387.4456002652971,-0.21965557444193495,3.9926470346535634,Music > Speech,0.21965557444193495
T29,18,257,394.1812141508133,-0.217135464181364,-2.3943312434745763,Music > Speech,0.217135464181364
T15,4,210,293.28184881338996,0.1226755781177226,-1.9302092184213568,Speech > Music,0.1226755781177226
T16,5,275,409.01534468117245,-0.10949629391405388,-2.7078817401357496,Music > Speech,0.10949629391405388
T29,18,201,327.5551801919305,-0.06153139131593838,-2.3943312434745763,Music > Speech,0.06153139131593838
T23,12,175,287.28077277049704,0.04705568446138242,-2.3419267373057218,Speech > Music,0.04705568446138242
T23,12,210,301.6587801292084,0.02964322540075247,-2.3419267373057218,Speech > Music,0.02964322540075247
vT3,47,263,352.234598817716,0.021760294507863796,-2.19269554158907,Speech > Music,0.021760294507863796
