Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
FL06,55,196,349.87701730818196,-0.5640622268612158,-1.816764239038503,Music > Speech,0.5640622268612158
CP45,35,220,344.23863410552264,-0.39323542906025066,-2.093058397057345,Music > Speech,0.39323542906025066
FM16,52,337,479.9923727605766,-0.3749199164340604,-2.698327006828081,Music > Speech,0.3749199164340604
CP24,18,449,675.0147294865103,-0.20034161154837385,2.7839251682626944,Music > Speech,0.20034161154837385
FL15,62,324,414.0455170980229,-0.18263503437831113,-2.5652767411539457,Music > Speech,0.18263503437831113
CP54,39,264,428.4263204175653,-0.18136001499851692,-2.146088731396289,Music > Speech,0.18136001499851692
CP16,11,326,487.0178283833532,-0.16410971506498687,-1.739827587243906,Music > Speech,0.16410971506498687
CP31,25,313,553.4563456138774,0.13581625219950605,-3.303755063707488,Speech > Music,0.13581625219950605
CP23,17,420,709.5593905194735,0.12077062932435832,-3.5784102014822228,Speech > Music,0.12077062932435832
CP32,26,286,476.19261476856224,-0.11648617798859308,-2.193701482248532,Music > Speech,0.11648617798859308
CP23,17,278,571.7556429725507,-0.10281968558421843,-3.5784102014822228,Music > Speech,0.10281968558421843
