roi,n_subjects,total_electrodes,avg_electrodes_per_subject,n_significant_timepoints,proportion_significant,max_t_value
ctx-lh-precentral,15,103,6.866666666666666,0,0.0,3.7018904545594684
ctx-lh-parstriangularis,15,57,3.8,0,0.0,3.942160997470249
ctx-lh-parsopercularis,15,55,3.6666666666666665,0,0.0,4.4414891757434125
ctx-lh-superiortemporal,14,109,7.785714285714286,0,0.0,4.1518521223391405
ctx-lh-postcentral,13,112,8.615384615384615,0,0.0,3.064449046404291
ctx-lh-middletemporal,13,84,6.461538461538462,0,0.0,4.308166809506718
ctx-lh-supramarginal,12,62,5.166666666666667,0,0.0,3.1613418387484717
ctx-lh-inferiorparietal,7,38,5.428571428571429,0,0.0,4.470886757072592
ctx-lh-parsorbitalis,6,10,1.6666666666666667,0,0.0,5.3657288672869905
ctx-rh-middletemporal,5,53,10.6,0,0.0,6.720660679261771
ctx-rh-supramarginal,4,28,7.0,0,0.0,10.954262486364298
ctx-rh-postcentral,3,12,4.0,0,0.0,6.596536283147003
ctx-rh-inferiorparietal,3,24,8.0,0,0.0,26.91156244936464
ctx-rh-superiortemporal,3,23,7.666666666666667,0,0.0,24.949171014126406
ctx-lh-insula,2,6,3.0,0,0.0,386.43866244239126
ctx-rh-insula,2,10,5.0,0,0.0,2692.4063464355972
ctx-rh-parstriangularis,2,3,1.5,0,0.0,1034.1207980212944
